"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C3,C4,C5,C6,C7,C8,C9,C10","1ÂµF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","8",""
"D1","12V_GREEN","~","LED_SMD:LED_1206_3216Metric","1",""
"D2","-12V_RED","~","LED_SMD:LED_1206_3216Metric","1",""
"IC1,IC2,U1,U2","~","","-- mixed values --","4",""
"J1","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",""
"J2","Conn_01x14","~","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","1",""
"Q1","PMV250EPEA","~","Package_TO_SOT_SMD:SOT-23_Handsoldering","1",""
"Q2","PMV450ENEA","~","Package_TO_SOT_SMD:SOT-23_Handsoldering","1",""
"R1,R2,R7,R9,R13,R14","5k6","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6",""
"R3","22k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R4,R6","220","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R5","68k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R8,R12","3K9","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R10,R15","23k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R11,R16","820","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"RV1","10k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"U3,U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
